"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","CO","Ozone","PM10","PM25","NO2"
"03/02/2022","85","PM10","HIDDEN VALLEY","04-021-3015","AQS","14","61","85","62","56"
"03/03/2022","77","Ozone","PINNACLE PEAK","04-013-2005","AQS","15","77","70","55","44"
"03/04/2022","71","PM10","PINAL COUNTY HOUSING (aka ELEVEN MILE CORNER)","04-021-3011","AQS","5","47","71","42","33"
"03/05/2022","45","Ozone","JLG SUPERSITE","04-013-9997","AQS","6","45","44","33","27"
"03/06/2022","54","PM2.5","TEMPE","04-013-4005","AQS","7","48","37","54","37"
"03/07/2022","64","PM10","WEST 43RD AVENUE","04-013-4009","AQS","10","46","64","54","35"
"03/08/2022","51","PM2.5","TEMPE","04-013-4005","AQS","6","49","47","51","41"
"03/09/2022","83","PM10","HIDDEN VALLEY","04-021-3015","AQS","8","48","83","58","43"
"03/10/2022","85","PM10","WEST 43RD AVENUE","04-013-4009","AQS","7","51","85","58","34"
"03/11/2022","58","Ozone","JLG SUPERSITE","04-013-9997","AQS","7","58","39","52","42"
"03/12/2022","64","PM10","HIDDEN VALLEY","04-021-3015","AQS","11","58","64","55","48"
"03/13/2022","73","PM10","HIDDEN VALLEY","04-021-3015","AQS","17","49","73","59","42"
"03/14/2022","77","Ozone","JLG SUPERSITE","04-013-9997","AQS","9","77","76","62","54"
"03/15/2022","75","PM10","HIDDEN VALLEY","04-021-3015","AQS","13","74","75","61","50"
"03/16/2022","107","PM10","WEST 43RD AVENUE","04-013-4009","AQS","10","74","107","81","46"
"03/17/2022","54","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS","7","54","50","44","43"
"03/18/2022","94","PM10","HIDDEN VALLEY","04-021-3015","AQS","9","67","94","63","42"
"03/19/2022","73","PM10","HIDDEN VALLEY","04-021-3015","AQS","14","71","73","57","48"
"03/20/2022","71","PM10","WEST 43RD AVENUE","04-013-4009","AQS","15","46","71","52","40"
"03/21/2022","74","PM10","WEST 43RD AVENUE","04-013-4009","AQS","7","51","74","55","30"
"03/22/2022","59","PM10","STANFIELD","04-021-3008","AQS","8","51","59","43","40"
"03/23/2022","61","PM10","HIDDEN VALLEY","04-021-3015","AQS","8","50","61","37","45"
"03/24/2022","67","PM2.5","HIDDEN VALLEY","04-021-3015","AQS","10","64","66","67","46"
"03/25/2022","87","PM10","HIDDEN VALLEY","04-021-3015","AQS","14","51","87","61","47"
"03/26/2022","77","PM10","HIDDEN VALLEY","04-021-3015","AQS","18","61","77","62","47"
"03/27/2022","61","PM10","HIDDEN VALLEY","04-021-3015","AQS","23","54","61","60","41"
"03/28/2022","87","PM10","WEST 43RD AVENUE","04-013-4009","AQS","7","44","87","55","36"
"03/29/2022","48","PM10","WEST 43RD AVENUE","04-013-4009","AQS","6","45","48","44","35"
"03/30/2022","61","Ozone","QUEEN VALLEY","04-021-8001","AQS","7","61","43","52","35"
"03/31/2022","61","Ozone","HUMBOLDT MOUNTAIN","04-013-9508","AQS","7","61","36","41","44"
"04/01/2022","71","Ozone","DYSART","04-013-4010","AQS","9","71","48","48","46"
"04/02/2022","56","PM10","HIDDEN VALLEY","04-021-3015","AQS","13","54","56","46","42"
"04/03/2022","47","Ozone","NORTH PHOENIX","04-013-1004","AQS","8","47","24","45","29"
"04/04/2022","68","PM10","PINAL AIR PARK","04-021-3007","AQS","7","50","68","51","29"
"04/05/2022","85","PM10","PINAL AIR PARK","04-021-3007","AQS","8","77","85","55","35"
"04/06/2022","67","Ozone","CASA GRANDE AIRPORT","04-021-3003","AQS","6","67","58","53","39"
"04/07/2022","55","PM10","WEST 43RD AVENUE","04-013-4009","AQS","7","50","55","41","41"
"04/08/2022","71","PM10","WEST 43RD AVENUE","04-013-4009","AQS","9","49","71","56","43"
"04/09/2022","74","PM2.5","MESA","04-013-1003","AQS","15","58","66","74","39"
"04/10/2022","56","PM10","WEST 43RD AVENUE","04-013-4009","AQS","5","51","56","51","27"
"04/11/2022","75","PM10","WEST 43RD AVENUE","04-013-4009","AQS","5","43","75","59","33"
"04/12/2022","135","PM10","WEST 43RD AVENUE","04-013-4009","AQS","3","54","135","57","29"
"04/13/2022","62","PM10","WEST 43RD AVENUE","04-013-4009","AQS","6","61","62","48","43"
"04/14/2022","93","PM10","HIDDEN VALLEY","04-021-3015","AQS","8","80","93","68","46"
