"Date","Overall AQI Value","Main Pollutant","Site Name (of Overall AQI)","Site ID (of Overall AQI)","Source (of Overall AQI)","Ozone","PM10","PM25"
"06/08/2021","31","Ozone","Bushy Fork","37-145-0003","AQS","31","7","20"
"06/09/2021","36","Ozone","Bushy Fork","37-145-0003","AQS","36","9","30"
"06/10/2021","31","PM2.5","Durham Armory","37-063-0015","AQS","27","9","31"
"06/11/2021","31","PM2.5","Durham Armory","37-063-0015","AQS","31","12","31"
"06/12/2021","24","Ozone","Bushy Fork","37-145-0003","AQS","24","7","14"
"06/13/2021","39","Ozone","Bushy Fork","37-145-0003","AQS","39","11","33"
"06/14/2021","49","Ozone","Durham Armory","37-063-0015","AQS","49","14","46"
"06/15/2021","49","Ozone","Durham Armory","37-063-0015","AQS","49","16","47"
"06/16/2021","46","Ozone","Bushy Fork","37-145-0003","AQS","46","12","26"
"06/17/2021","54","Ozone","Durham Armory","37-063-0015","AQS","54","13","35"
"06/18/2021","80","Ozone","Bushy Fork","37-145-0003","AQS","80","19","55"
"06/19/2021","74","Ozone","Bushy Fork","37-145-0003","AQS","74","21","62"
"06/20/2021","49","PM2.5","Durham Armory","37-063-0015","AQS","19","14","49"
"06/21/2021","44","PM2.5","Durham Armory","37-063-0015","AQS","42","14","44"
"06/22/2021","31","Ozone","Bushy Fork","37-145-0003","AQS","31","10","26"
"06/23/2021","39","Ozone","Durham Armory","37-063-0015","AQS","39","13","35"
"06/24/2021","46","Ozone","Durham Armory","37-063-0015","AQS","46","12","33"
"06/25/2021","33","Ozone","Bushy Fork","37-145-0003","AQS","33","11","27"
"06/26/2021","22","PM2.5","Durham Armory","37-063-0015","AQS","20","8","22"
"06/27/2021","36","PM2.5","Durham Armory","37-063-0015","AQS","19","13","36"
"06/28/2021","37","PM2.5","Durham Armory","37-063-0015","AQS","22","12","37"
"06/29/2021","25","Ozone","Durham Armory","37-063-0015","AQS","25","10","24"
"06/30/2021","40","Ozone","Bushy Fork","37-145-0003","AQS","40","11","32"
"07/01/2021","35","PM2.5","Durham Armory","37-063-0015","AQS","32","11","35"
"07/02/2021","34","Ozone","Bushy Fork","37-145-0003","AQS","34","8","26"
"07/03/2021","37","PM2.5","Durham Armory","37-063-0015","AQS","37","11","37"
"07/04/2021","53","PM2.5","Durham Armory","37-063-0015","AQS","39","14","53"
"07/05/2021","72","PM2.5","Durham Armory","37-063-0015","AQS","46","23","72"
"07/06/2021","60","PM2.5","Durham Armory","37-063-0015","AQS","45","19","60"
"07/07/2021","55","PM2.5","Durham Armory","37-063-0015","AQS","47","16","55"
"07/08/2021","27","PM2.5","Durham Armory","37-063-0015","AQS","18","11","27"
"07/09/2021","39","Ozone","Bushy Fork","37-145-0003","AQS","39","12","30"
"07/10/2021","48","PM2.5","Durham Armory","37-063-0015","AQS","46","15","48"
"07/11/2021","54","PM2.5","Durham Armory","37-063-0015","AQS","31","14","54"
"07/12/2021","42","PM2.5","Durham Armory","37-063-0015","AQS","24","15","42"
"07/13/2021","46","PM2.5","Durham Armory","37-063-0015","AQS","31","16","46"
"07/14/2021","33","Ozone","Bushy Fork","37-145-0003","AQS","33","11","31"
"07/15/2021","41","PM2.5","Durham Armory","37-063-0015","AQS","38","15","41"
"07/16/2021","55","PM2.5","Durham Armory","37-063-0015","AQS","43","17","55"
"07/17/2021","44","PM2.5","Durham Armory","37-063-0015","AQS","34","14","44"
"07/18/2021","34","PM2.5","Durham Armory","37-063-0015","AQS","31","12","34"
"07/19/2021","31","Ozone","Bushy Fork","37-145-0003","AQS","31","8","15"
"07/20/2021","71","PM2.5","Durham Armory","37-063-0015","AQS","41","26","71"
"07/21/2021","89","PM2.5","Durham Armory","37-063-0015","AQS","50","35","89"
"07/22/2021","78","PM2.5","Durham Armory","37-063-0015","AQS","43","28","78"
"07/23/2021","65","PM2.5","Durham Armory","37-063-0015","AQS","50","23","65"
"07/24/2021","61","PM2.5","Durham Armory","37-063-0015","AQS","44","20","61"
"07/25/2021","57","PM2.5","Durham Armory","37-063-0015","AQS","38","18","57"
"07/26/2021","58","PM2.5","Durham Armory","37-063-0015","AQS","35","18","58"
"07/27/2021","42","Ozone","Durham Armory","37-063-0015","AQS","42","12","39"
"07/28/2021","77","Ozone","Bushy Fork","37-145-0003","AQS","77","18","56"
"07/29/2021","74","Ozone","Bushy Fork","37-145-0003","AQS","74","19","56"
"07/30/2021","59","PM2.5","Durham Armory","37-063-0015","AQS","51","19","59"
"07/31/2021","61","PM2.5","Durham Armory","37-063-0015","AQS","46","19","61"
"08/01/2021","68","PM2.5","Durham Armory","37-063-0015","AQS","41","22","68"
"08/02/2021","66","PM2.5","Durham Armory","37-063-0015","AQS","44","22","66"
"08/03/2021","63","PM2.5","Durham Armory","37-063-0015","AQS","39","19","63"
